,Compound Score,Negative Score,Neutral Score,News_organization,Positive Score,Tweets Ago
0,0.0,0.0,1.0,BBC,0.0,1
1,0.0,0.0,1.0,BBC,0.0,2
2,0.0,0.0,1.0,BBC,0.0,3
3,0.5859,0.0,0.769,BBC,0.231,4
4,0.4404,0.0,0.854,BBC,0.146,5
5,0.0,0.0,1.0,BBC,0.0,6
6,0.0,0.0,1.0,BBC,0.0,7
7,0.8779,0.0,0.627,BBC,0.373,8
8,0.3612,0.0,0.857,BBC,0.143,9
9,-0.4118,0.133,0.867,BBC,0.0,10
10,0.0,0.0,1.0,BBC,0.0,11
11,0.8555,0.0,0.657,BBC,0.343,12
12,-0.7263,0.337,0.663,BBC,0.0,13
13,0.0,0.0,1.0,BBC,0.0,14
14,0.3612,0.0,0.848,BBC,0.152,15
15,0.4404,0.0,0.884,BBC,0.116,16
16,0.0,0.0,1.0,BBC,0.0,17
17,0.2724,0.0,0.901,BBC,0.099,18
18,0.5267,0.073,0.73,BBC,0.197,19
19,0.0,0.0,1.0,BBC,0.0,20
20,0.0,0.0,1.0,BBC,0.0,21
21,0.0,0.0,1.0,BBC,0.0,22
22,0.0,0.0,1.0,BBC,0.0,23
23,0.5859,0.0,0.769,BBC,0.231,24
24,0.4404,0.0,0.854,BBC,0.146,25
25,0.0,0.0,1.0,BBC,0.0,26
26,0.0,0.0,1.0,BBC,0.0,27
27,0.8779,0.0,0.627,BBC,0.373,28
28,0.3612,0.0,0.857,BBC,0.143,29
29,-0.4118,0.133,0.867,BBC,0.0,30
30,0.0,0.0,1.0,BBC,0.0,31
31,0.8555,0.0,0.657,BBC,0.343,32
32,-0.7263,0.337,0.663,BBC,0.0,33
33,0.0,0.0,1.0,BBC,0.0,34
34,0.3612,0.0,0.848,BBC,0.152,35
35,0.4404,0.0,0.884,BBC,0.116,36
36,0.0,0.0,1.0,BBC,0.0,37
37,0.2724,0.0,0.901,BBC,0.099,38
38,0.5267,0.073,0.73,BBC,0.197,39
39,0.0,0.0,1.0,BBC,0.0,40
40,-0.3612,0.215,0.639,BBC,0.146,41
41,0.0,0.0,1.0,BBC,0.0,42
42,0.4588,0.0,0.857,BBC,0.143,43
43,0.0,0.0,1.0,BBC,0.0,44
44,0.2263,0.0,0.909,BBC,0.091,45
45,0.0,0.0,1.0,BBC,0.0,46
46,0.3291,0.0,0.865,BBC,0.135,47
47,0.1255,0.089,0.801,BBC,0.11,48
48,0.3612,0.0,0.894,BBC,0.106,49
49,0.0,0.0,1.0,BBC,0.0,50
50,-0.128,0.164,0.697,BBC,0.139,51
51,0.3612,0.13,0.651,BBC,0.219,52
52,0.6696,0.0,0.743,BBC,0.257,53
53,0.2144,0.0,0.919,BBC,0.081,54
54,0.1027,0.113,0.755,BBC,0.132,55
55,0.6249,0.0,0.806,BBC,0.194,56
56,0.0,0.0,1.0,BBC,0.0,57
57,0.0258,0.0,0.958,BBC,0.042,58
58,0.4753,0.102,0.693,BBC,0.204,59
59,-0.4215,0.109,0.891,BBC,0.0,60
60,0.0,0.0,1.0,BBC,0.0,61
61,-0.128,0.185,0.662,BBC,0.152,62
62,0.0,0.0,1.0,BBC,0.0,63
63,0.0,0.0,1.0,BBC,0.0,64
64,0.5106,0.0,0.68,BBC,0.32,65
65,0.8126,0.0,0.625,BBC,0.375,66
66,0.0,0.0,1.0,BBC,0.0,67
67,-0.1027,0.123,0.877,BBC,0.0,68
68,0.0,0.0,1.0,BBC,0.0,69
69,0.6808,0.0,0.641,BBC,0.359,70
70,0.0,0.0,1.0,BBC,0.0,71
71,-0.6597,0.173,0.827,BBC,0.0,72
72,0.0,0.0,1.0,BBC,0.0,73
73,0.6486,0.0,0.654,BBC,0.346,74
74,0.128,0.204,0.543,BBC,0.252,75
75,0.0,0.0,1.0,BBC,0.0,76
76,0.6124,0.0,0.75,BBC,0.25,77
77,0.5994,0.0,0.804,BBC,0.196,78
78,0.0,0.0,1.0,BBC,0.0,79
79,0.5562,0.0,0.736,BBC,0.264,80
80,0.5106,0.0,0.809,BBC,0.191,81
81,0.0,0.0,1.0,BBC,0.0,82
82,-0.4215,0.135,0.865,BBC,0.0,83
83,0.5106,0.0,0.875,BBC,0.125,84
84,0.5697,0.184,0.433,BBC,0.383,85
85,0.0,0.0,1.0,BBC,0.0,86
86,0.5719,0.0,0.748,BBC,0.252,87
87,0.0,0.0,1.0,BBC,0.0,88
88,0.34,0.0,0.745,BBC,0.255,89
89,-0.4588,0.267,0.733,BBC,0.0,90
90,0.34,0.0,0.87,BBC,0.13,91
91,0.2263,0.0,0.913,BBC,0.087,92
92,0.0,0.0,1.0,BBC,0.0,93
93,-0.2363,0.089,0.911,BBC,0.0,94
94,0.8779,0.0,0.631,BBC,0.369,95
95,0.0,0.0,1.0,BBC,0.0,96
96,0.0,0.0,1.0,BBC,0.0,97
97,0.4588,0.0,0.85,BBC,0.15,98
98,0.0,0.0,1.0,BBC,0.0,99
99,0.3612,0.051,0.842,BBC,0.106,100
0,0.6696,0.0,0.791,CBS,0.209,1
1,0.0,0.0,1.0,CBS,0.0,2
2,0.3612,0.0,0.889,CBS,0.111,3
3,0.7424,0.082,0.617,CBS,0.3,4
4,0.3818,0.0,0.894,CBS,0.106,5
5,0.5093,0.0,0.859,CBS,0.141,6
6,0.0,0.0,1.0,CBS,0.0,7
7,0.8316,0.0,0.694,CBS,0.306,8
8,0.0,0.0,1.0,CBS,0.0,9
9,0.5994,0.0,0.843,CBS,0.157,10
10,0.0,0.0,1.0,CBS,0.0,11
11,0.5826,0.0,0.827,CBS,0.173,12
12,-0.5093,0.202,0.798,CBS,0.0,13
13,0.0,0.0,1.0,CBS,0.0,14
14,0.6041,0.0,0.775,CBS,0.225,15
15,0.3802,0.0,0.853,CBS,0.147,16
16,-0.2057,0.083,0.917,CBS,0.0,17
17,0.0,0.0,1.0,CBS,0.0,18
18,-0.0572,0.064,0.936,CBS,0.0,19
19,-0.3612,0.121,0.82,CBS,0.059,20
20,0.6696,0.0,0.791,CBS,0.209,21
21,0.0,0.0,1.0,CBS,0.0,22
22,0.3612,0.0,0.889,CBS,0.111,23
23,0.7424,0.082,0.617,CBS,0.3,24
24,0.3818,0.0,0.894,CBS,0.106,25
25,0.5093,0.0,0.859,CBS,0.141,26
26,0.0,0.0,1.0,CBS,0.0,27
27,0.8316,0.0,0.694,CBS,0.306,28
28,0.0,0.0,1.0,CBS,0.0,29
29,0.5994,0.0,0.843,CBS,0.157,30
30,0.0,0.0,1.0,CBS,0.0,31
31,0.5826,0.0,0.827,CBS,0.173,32
32,-0.5093,0.202,0.798,CBS,0.0,33
33,0.0,0.0,1.0,CBS,0.0,34
34,0.6041,0.0,0.775,CBS,0.225,35
35,0.3802,0.0,0.853,CBS,0.147,36
36,-0.2057,0.083,0.917,CBS,0.0,37
37,0.0,0.0,1.0,CBS,0.0,38
38,-0.0572,0.064,0.936,CBS,0.0,39
39,-0.3612,0.121,0.82,CBS,0.059,40
40,0.4939,0.0,0.862,CBS,0.138,41
41,0.0,0.0,1.0,CBS,0.0,42
42,0.4926,0.0,0.825,CBS,0.175,43
43,0.2732,0.0,0.877,CBS,0.123,44
44,0.2716,0.0,0.905,CBS,0.095,45
45,-0.4973,0.133,0.867,CBS,0.0,46
46,0.0,0.0,1.0,CBS,0.0,47
47,-0.4019,0.114,0.886,CBS,0.0,48
48,-0.6908,0.207,0.793,CBS,0.0,49
49,0.0,0.0,1.0,CBS,0.0,50
